startBP,endBP,British Isles MAP,Baltic region MAP,Rhine Danube axis MAP,Mediterranean Europe MAP,,,
8000,7780,0.5,0.35,0.512755102,0.388,,,crib vs PH? 1 vs 2 vs 1+2
7780,7560,0.5,0.35,0.512755102,0.35,,,
7560,7340,0.5,0.5,0.512755102,0.33,,,
7340,7120,0.5,0.5,0.3,0.3,,,
7120,6900,0.5,0.5,0.3,0.26,,,
6900,6680,0.3,0.5,0.3,0.23,,,
6680,6460,0.3,0.5,0.3,0.2,,,
6460,6240,0.3,0.3,0.2,0.188235294,,,
6240,6020,0.3,0.3,0.2,0.16,,,
6020,5800,0.2,0.3,0.2,0.14,,,
5800,5580,0.2,0.3,0.2,0.12,,,
5580,5360,0.2,0.2,0.2,0.1,,,
5360,5140,0.2,0.2,0.2,0.15,,,
5140,4920,0.2,0.2,0.2,0.081081081,,,
4920,4700,0.2,0.2,0.2,0.12,,,
4700,4480,0.2,0.2,0.2,0.167088608,,,
4480,4260,0.2,0.2,0.2,0.17,,,
4260,4040,0.2,0.2,0.2,0.19,,,
4040,3820,0.2,0.2,0.1,0.2,,,
3820,3600,0.2,0.2,0.1,0.214765101,,,
3600,3380,0.2,0.2,0.1,0.15,,,
3380,3160,0.1,0.2,0.1,0.141025641,,,
3160,2940,0.1,0.2,0.001,0.06,,,
2940,2720,0.05,0.1,0.001,0.03,,,
2720,2500,0.011661808,0.1,0.001,0.00173913,,,
