startBP,endBP,British Isles MAP,Baltic region MAP,Rhine Danube axis MAP,Mediterranean Europe MAP
8000,7780,0.2,0.2,0.142857143,0.117647059
7780,7560,0.16,0.1,0.2,0.1
7560,7340,0.1,0.1,1,0.1
7340,7120,0.1,0.1,0.1,0.1
7120,6900,0.1,0.1,0.2,0.1
6900,6680,0.1,0.1,0.02,0.116666667
6680,6460,0.1,0.1,0.05,0.1
6460,6240,0.1,0.1,0.07,0.1
6240,6020,0.1,0.094,0.1,0.1
6020,5800,0.1,0.16,0.128440367,0.116666667
5800,5580,0.05,0.16,0.1,0.071
5580,5360,0.074,0.16,0.1,0.1
5360,5140,0.16,0.16,0.1,0.190476191
5140,4920,0.16,0.105,0.11,0.083333333
4920,4700,0.16,0.1,0.15,0.091
4700,4480,0.16,0.1,0.13,0.143
4480,4260,0.12,0.1,0.14,0.006944444
4260,4040,0.16,0.14,0.140939597,0.058823529
4040,3820,0.1,0.1,0.12,0.04
3820,3600,0.1,0.1,0.12,0.018181818
3600,3380,0.1,0.1,0.1,0.01
3380,3160,0.1,0.1,0.1,0.01
3160,2940,0.05,0.05,0.05,0.01
2940,2720,0.05,0.05,0.05,0.01
2720,2500,0.01,0.01,0.01,0.01
