"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-310.086726998648,"1.02163672713674e-16,1,0.942307694609352,0.968253970284108,0.966735967075163,0.966431094671967",-310.086726998648,"0.266482010536006,0.0155225502810751,0.942307694609352,0.968253970284108,0.966735967075163,0.966431094671967",-310.086726998648,"3.18961264097365e-18,0.194985102144937,0.942307694609352,0.968253970284108,0.966735967075163,0.966431094671967",-303.925641562101,"0.0194051982443732,1,0.0387020879314513,0.0245873032459592,0.0261658563018721,0.0249862708059548",-302.782633755185,"0.999999999953853,0.293823059147198,0.013141273896786,0.0085868515354218,0.0127795289468605,0.0207944310582703",-302.571414418308,"0.999999999627577,0.0121252941215427,0.0512823837016663,0.0317464682262448,1.35727612231619e-11,0.033569057171382",-310.086726998648,"1.02163672713674e-16,0.0659496489925328,0.942307694609352,0.968253970284108,0.966735967075163,0.966431094671967",-310.058360081414,"0.191888565492054,0.00542249110278522,0.942306746895321,0.968228862407708,0.966606903191159,0.96501631039053",-301.931522994675,"0.999999986860253,0.00122549309441539,0.0512821740698824,0.0317461321746655,0.0301509747148034,0.0332665547244036",-303.895454320855,"0.0359694434262936,0.147732025995838,0.039481024549599,0.0251895031482263,0.0269696518625555,0.0245124687212532"
"rs28777",-864.542392614172,"0.0286527702562739,1,0.468695086831605,0.447713555634445,0.552978527559494,0.41847276262545",-864.542392614172,"0.0286527702562739,1,0.468695086831605,0.447713555634445,0.552978527559494,0.41847276262545",-864.130616710644,"0.153175565228741,0.577107107004195,0.459155525895217,0.436769653070412,0.514057611212228,0.423966972765749",-869.10899873798,"4.4533903665856e-17,1,0.424603178910744,0.470000002985271,0.359154928330927,0.473118281394443",-869.10899873798,"4.4533903665856e-17,1,0.424603178910744,0.470000002985271,0.359154928330927,0.473118281394443",-869.10899873798,"4.4533903665856e-17,0.0229181508944372,0.424603178910744,0.470000002985271,0.359154928330927,0.473118281394443",-864.542392614172,"0.0286527702562739,1,0.468695086831605,0.447713555634445,0.552978527559494,0.41847276262545",-864.534713239346,"0.0288961917107039,0.999999975452032,0.467774626237475,0.447011009751635,0.559006999930744,0.417578911913209",-869.10899873798,"4.4533903665856e-17,1,0.424603178910744,0.470000002985271,0.359154928330927,0.473118281394443",-869.107998522801,"0.999999310539505,0.00116304068339064,0.424603080552454,0.470000277288687,0.359154826433659,0.472799057401049"
"rs16891982",-1293.45765562579,"0.063956987009643,1,0.266535300271511,0.286275300674897,0.336168724537366,0.192887056691327",-1293.45765562579,"0.063956987009643,0.999999997869905,0.266535300271511,0.286275300674897,0.336168724537366,0.192887056691327",-1293.45765562579,"0.063956987009643,1,0.266535300271511,0.286275300674897,0.336168724537366,0.192887056691327",-1329.87739292856,"1.70437553311526e-17,1,0.500000001848478,0.543859645837851,0.470649900570735,0.600719420419319",-1329.87739292856,"0.392635592652649,0.0196750572239834,0.500000001848478,0.543859645837851,0.470649900570735,0.600719420419319",-1329.87739292856,"1.70437553311526e-17,0.163822437500506,0.500000001848478,0.543859661192167,0.470649900570735,0.600719420419319",-1292.28584317591,"0.108818209288814,0.298291777996288,0.326709571819652,0.339624976000288,0.376928766599798,0.192420666904888",-1292.75392280562,"0.114947875634161,0.150435075318023,0.284236769715582,0.304328378085066,0.361831190989602,0.186433785034642",-1329.87739292856,"1.70437553311526e-17,1.09435944092916e-05,0.500000001848478,0.543859645837851,0.470649900570735,0.600719420419319",-1329.87739292856,"0.00170061725786251,0.000247050493878461,0.500000001848478,0.543859645837851,0.470649900570735,0.600719420419319"
"rs12821256",-244.931425142,"9.20144496789759e-16,1,0.968468467517994,0.955555558184543,0.942492013122977,0.962566844166158",-244.861519237989,"0.999999975372494,0.181778113607142,0.959979823179414,0.946667239821072,0.932781612233863,0.961114693303483",-244.931425142,"9.20144496789759e-16,0.794919025913824,0.968468467517994,0.955555558184543,0.942492013122977,0.962566844166158",-244.914351857531,"0.00390014153224489,1,0.0298673424617666,0.0425016609725027,0.0549063988992039,0.0353604756663778",-244.890655742304,"0.0169601682460753,0.607731061313686,0.028129546006409,0.0403713109465363,0.0525680513469539,0.0342476202861808",-244.609553710807,"0.512346247522796,0.267684207700556,0.0307715642829399,0.0434922866345874,0.0290437169288285,0.0368205443619556",-244.249426243873,"0.390079260669641,0.0314359402653192,0.96835610504074,0.955461155184817,0.940117261025016,0.959875922718954",-244.637308180388,"0.999999992978006,0.00417669599628097,0.968468416445366,0.955512288084647,0.94203254902113,0.957085212715007",-244.914351857531,"0.00390014153224489,1,0.0298673424617666,0.0425016609725027,0.0549063988992039,0.0353604756663778",-244.914351857531,"0.00390014153224489,1,0.0298673424617666,0.0425016609725027,0.0549063988992039,0.0353604756663778"
"rs4959270",-1180.73530595098,"6.01637816399246e-17,1,0.503424667772781,0.443396229698013,0.550368552119484,0.549800792435461",-1180.68398298834,"0.999999964575368,0.141976235614778,0.483553979779775,0.428640049475558,0.536890688632524,0.547960435736331",-1180.73530595098,"7.52047270499057e-18,0.0281529847661306,0.503424667772781,0.443396229698013,0.550368552119484,0.549800792435461",-1179.31766446445,"0.0135630045527042,1,0.444913694520799,0.517439976331671,0.409287903956756,0.398801294091671",-1179.20893390429,"0.0234175921776666,0.764774102425626,0.434588212067445,0.508687522928427,0.402712176973882,0.396509121424188",-1179.31766446445,"0.0135630045527042,0.999999999489844,0.444913694520799,0.517439976331671,0.409287903956756,0.398801294091671",-1179.68133251015,"0.999999996278721,0.000609726034053149,0.50342460788154,0.443395980209293,0.545223058693573,0.549351919087115",-1180.73530595098,"7.52047270499057e-18,0.000138195990423,0.503424667772781,0.443396229698013,0.550368552119484,0.549800792435461",-1179.31274028647,"0.0148582595221086,0.719934717140218,0.448202568098583,0.520253349900519,0.411292369458227,0.398889916636094",-1179.31766446445,"0.0135630045527042,1,0.444913694520799,0.517439976331671,0.409287903956756,0.398801294091671"
"rs12203592",-614.084470296914,"4.30714168450911e-18,1,0.824427492028465,0.69827586207724,0.860955057622845,0.909502261712685",-613.729529109746,"0.999999998262137,0.186746331411724,0.780696010750643,0.646328576817029,0.837284568464478,0.905599522273174",-614.084470296914,"4.30714168450911e-18,0.0478442898046008,0.824427492028465,0.69827586207724,0.860955057622845,0.909502261712685",-613.541139474007,"0.0124802619219217,1,0.149896539096231,0.267663307747331,0.120818755862393,0.0761854841614866",-613.541139474007,"0.0124802619219217,1,0.149896539096231,0.267663307747331,0.120818755862393,0.0761854841614866",-611.679925461491,"0.692613143687136,0.325203306741318,0.157027547488923,0.276346417147764,0.044319144636691,0.0830493476520384",-614.084470296914,"4.30714168450911e-18,0.00833955578875946,0.824427492028465,0.69827586207724,0.860955057622845,0.909502261712685",-613.924498348209,"0.999999622966984,0.00322738618791691,0.824427813028765,0.698141958951718,0.860640120438848,0.902938557989646",-613.409541723504,"0.0259603978686851,0.258985534719169,0.15625560861922,0.277350658147489,0.123437906287942,0.0749204958913426",-613.541139474007,"0.0124802619219217,1,0.149896539096231,0.267663307747331,0.120818755862393,0.0761854841614866"
"rs1042602",-894.435727255793,"6.53699341609175e-18,1,0.809859155798153,0.859649121405263,0.815420560994573,0.767148014828274",-894.435727255793,"0.332441759764605,0.0170331866100226,0.809859155798153,0.859649121405263,0.815420560994573,0.767148014828274",-894.435727255793,"6.53699341609175e-18,0.0838556424125227,0.809859155798153,0.859649121405263,0.815420560994573,0.767148014828274",-876.213784520826,"0.0602937436140785,1,0.0831154849990581,0.071636511195074,0.0923095498696098,0.102017193261627",-876.130896026097,"0.0825533147868493,0.848103881247393,0.0754835037236667,0.0652714530950996,0.0867540827715216,0.100343835467738",-876.200318312492,"0.0691154149718141,0.947832992668491,0.0819218850210704,0.0706013995138864,0.0907764441619032,0.102123505444179",-894.435727255793,"2.16763585235899e-06,2.2988041251278e-05,0.809859155798153,0.859649121405263,0.815420560994573,0.767148014828274",-894.435727255793,"0.00049245536741032,3.18052998879686e-05,0.809859155798153,0.859649121405263,0.815420560994573,0.767148014828274",-876.213784520826,"0.0602937436140785,1,0.0831154849990581,0.071636511195074,0.0923095498696098,0.102017193261627",-876.0709214673,"0.0608701377863782,0.999999968964236,0.082389524148364,0.0711075132404011,0.0967868891082975,0.101098258073654"
"rs1393350",-703.678696231435,"2.08022820390308e-16,1,0.863013699377482,0.865079367607275,0.865291262421676,0.855468749749621",-703.678696231435,"2.08022820390308e-16,1,0.863013699377482,0.865079367607275,0.865291262421676,0.855468749749621",-703.678696231435,"2.08022820390308e-16,0.0599108725304897,0.863013699377482,0.865079367607275,0.865291262421676,0.855468749749621",-699.905517233852,"0.0312512677483324,1,0.089453395504811,0.0957151705843852,0.0943219206958209,0.0932635833651729",-698.579432851805,"0.965554788210794,0.305591133164661,0.0334169965127187,0.0374031748734837,0.0509452945360288,0.0878799317481133",-699.905517233852,"0.0312512677483324,1,0.089453395504811,0.0957151705843852,0.0943219206958209,0.0932635833651729",-703.678696231435,"5.2005705097577e-17,0.000134878731782869,0.863013699377482,0.865079367607275,0.865291262421676,0.855468749749621",-703.67623454846,"0.999999907940231,0.00116875227121848,0.863013978039445,0.865079477732924,0.865290944960292,0.855295939892309",-699.905517233852,"0.0312512677483324,1,0.089453395504811,0.0957151705843852,0.0943219206958209,0.0932635833651729",-699.862382334317,"0.0316394492119916,0.999999961448492,0.0889553862460069,0.095273244280896,0.0965160876553388,0.0927204863475072"
"rs12913832",-1156.81725337499,"0.00962225038260171,1,0.419906946036259,0.562955148672998,0.440900568782244,0.266100209224415",-1156.81725337499,"0.00962225038260171,1,0.419906946036259,0.562955148672998,0.440900568782244,0.266100209224415",-1156.34734301527,"0.106770773348299,0.501836770688224,0.409019876886447,0.552971427349649,0.408508620456083,0.263573671563457",-1157.51684401492,"1.66004759573582e-16,1,0.544776115338795,0.409090915713381,0.529481133615591,0.704280161590703",-1156.15198846282,"0.999999999357767,0.209683134311159,0.435962928691215,0.327277702011261,0.456179581772144,0.684934780606914",-1157.51684401492,"1.66004759573582e-16,0.906154067450508,0.544776115338795,0.409090915713381,0.529481133615591,0.704280161590703",-1151.30191691117,"0.999999995482192,0.00112362911970981,0.455224354987224,0.590907314140354,0.457102318046463,0.294057406023315",-1156.81274511244,"0.00972579517449676,0.999999980905692,0.419528270433,0.562652385137122,0.442871507471956,0.265789753115663",-1157.51684401492,"1.66004759573582e-16,1,0.544776115338795,0.409090915713381,0.529481133615591,0.704280161590703",-1157.12658232475,"0.999999989071024,0.00295384177161282,0.544776137863647,0.408894224928638,0.529119779433889,0.690240467159612"
"rs1800407",-522.206273172235,"8.32237167844426e-17,1,0.890728475733512,0.956896553100313,0.903669724560329,0.932926828312866",-522.206273172235,"8.32237167844426e-17,0.957426496499886,0.890728475733512,0.956896553100313,0.903669724560329,0.932926828312866",-522.206273172235,"8.32237167844426e-17,1,0.890728475733512,0.956896553100313,0.903669724560329,0.932926828312866",-517.099784621596,"0.0458546459204902,1,0.0567480173904962,0.0245090519631277,0.0548942539257493,0.0329352435310758",-516.465323348074,"0.166384110865397,0.568019626233592,0.0391839245910634,0.0168092023926839,0.0429537844925083,0.0310052833632023",-516.036763595614,"0.491843863011394,0.481353828105449,0.0540144301868899,0.0228946894299591,0.0294361787622968,0.0364855025697448",-522.176346296397,"0.999997751233353,0.000371718576950315,0.890728236279432,0.956896081469977,0.903205543506054,0.932914700194721",-522.206141773055,"0.999998910924139,0.000971324418883939,0.890727691422542,0.956896269066516,0.903669844726464,0.932900441981766",-517.099784621596,"0.0458546459204902,1,0.0567480173904962,0.0245090519631277,0.0548942539257493,0.0329352435310758",-517.099784621596,"0.0458546459204902,1,0.0567480173904962,0.0245090519631277,0.0548942539257493,0.0329352435310758"
