"locus","null.major.loglik","null.major.pars","cluster.major.loglik","cluster.major.pars","popfluc.major.loglik","popfluc.major.pars","insol.major.loglik","insol.major.pars","milk.major.loglik","milk.major.pars","null.minor.loglik","null.minor.pars","cluster.minor.loglik","cluster.minor.pars","popfluc.minor.loglik","popfluc.minor.pars","insol.minor.loglik","insol.minor.pars","milk.minor.loglik","milk.minor.pars","cluster.inv.major.loglik","cluster.inv.major.pars","popfluc.inv.major.loglik","popfluc.inv.major.pars","insol.inv.major.loglik","insol.inv.major.pars","milk.inv.major.loglik","milk.inv.major.pars","cluster.inv.minor.loglik","cluster.inv.minor.pars","popfluc.inv.minor.loglik","popfluc.inv.minor.pars","insol.inv.minor.loglik","insol.inv.minor.pars","milk.inv.minor.loglik","milk.inv.minor.pars"
"rs1805008",-284.1434907937,"1.20816284487393e-16,1,0.951923076321271,0.976190475780966,0.96777546808197,0.971731449042655",-284.1434907937,"1.20816284487393e-16,0.00296875984744881,0.951923076321271,0.976190475780966,0.96777546808197,0.971731449042655",-282.716721535982,"0.69664006876489,0.00136342599528122,0.902295301315729,0.976190656371556,0.96777563978786,0.971731215607938",-284.016476704424,"0.99999998004078,0.106524888099607,0.951802077075511,0.976181089616346,0.967218868976979,0.963942004152037",-283.065411317848,"0.999999987313833,0.138027157359748,0.856815799657115,0.97523975592042,0.967159386390772,0.968881676748494",-283.888293523029,"0.0152373261303412,1,0.0385636422166363,0.019495147945998,0.0267312836126792,0.0224316721046067",-283.809951498422,"0.12457098144204,0.0612402967992225,0.0477130021356397,0.0206633355136899,0.0265955971110121,0.0281529881174199",-283.888293523029,"0.0152373261303412,1,0.0385636422166363,0.019495147945998,0.0267312836126792,0.0224316721046067",-283.888293523029,"0.0152373261303412,0.999999994528193,0.0385636422166363,0.019495147945998,0.0267312836126792,0.0224316721046067",-283.888293523029,"0.0152373261303412,1,0.0385636406524178,0.0194951470564549,0.0267312836126792,0.0224316715646127",-284.1434907937,"7.55101778046205e-18,0.182393443327554,0.951923076321271,0.976190475780966,0.96777546808197,0.971731449042655",-284.133431015175,"0.999999921418757,0.0507131415411767,0.951767968543564,0.976016785185357,0.967743960567453,0.971673237397326",-284.1434907937,"1.20816284487393e-16,0.159872722756642,0.951923076321271,0.976190475780966,0.96777546808197,0.971731449042655",-284.1434907937,"1.51020355609241e-17,0.0497333547386902,0.951923076321271,0.976190475780966,0.96777546808197,0.971731449042655",-280.756168904213,"0.889838562760901,0.0113800322060458,0.00544661013552254,0.0203943895590529,0.0296986800261334,0.00310237782067387",-283.546375926049,"0.543929233628032,0.160797379937723,0.0269957424050447,0.013570055568185,0.0242238537394042,0.0188741516312803",-283.495719523585,"0.999999990957621,0.117080897391706,0.0282822142861047,0.00757419463142244,0.0286274530265667,0.0279522843963063",-283.313292236148,"0.0973295394479105,0.223207301438387,0.0313667139976077,0.0138858000018919,0.0220476682903291,0.021495747792848"
"rs28777",-858.60508717785,"0.0370030843535773,1,0.409530469066398,0.423677328883741,0.534138090985668,0.422483542349833",-857.598027905717,"0.0625045586651969,0.604043481627814,0.43736156722287,0.394178283410128,0.508674774884291,0.483793147457099",-857.37941176567,"0.191033197825361,0.281071735781951,0.409255073816182,0.402524379497311,0.540795036269743,0.449578026095335",-858.60508717785,"0.0370030843535773,0.999999995128521,0.409530469066398,0.423677328883741,0.534138090985668,0.422483542349833",-858.533341078525,"0.0374408581684305,0.999999988723722,0.435824462175983,0.447329005627206,0.532742956088561,0.42087170211179",-866.392578610794,"3.30330554335768e-17,1,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"3.30330554335768e-17,0.0302523463876743,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"3.30330554335768e-17,0.00135473433345249,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"3.30330554335768e-17,0.00945044286325606,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"0.31025884459775,0.00490930369853831,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-858.528671878072,"0.0385583815911052,0.99999998880169,0.404122685047682,0.427859873993507,0.53543864697909,0.416940765105623",-858.60508717785,"0.0370030843535773,1,0.409530469066398,0.423677328883741,0.534138090985668,0.422483542349833",-856.75117118537,"0.133986001141722,0.34053109959436,0.337642812162549,0.334306535685987,0.521951622215773,0.481114327514462",-858.60508717785,"0.0370030843535773,1,0.409530469066398,0.423677328883741,0.534138090985668,0.422483542349833",-866.392578610794,"3.30330554335768e-17,0.0350881195163813,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"3.30330554335768e-17,0.00544279997429516,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"0.475318715295751,0.00779888667194363,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045",-866.392578610794,"3.30330554335768e-17,0.00698670640819292,0.452380954368206,0.470000010806177,0.352112673053075,0.440860215914045"
"rs16891982",-1294.397043802,"0.0613325403056963,1,0.264799266101098,0.292794478033004,0.34570313492952,0.194934370564069",-1293.54472672624,"0.0796515454043684,0.740605901753772,0.29879502239723,0.275926340461326,0.331487809517087,0.249980673055668",-1293.49695310791,"0.150362655255894,0.426081564639425,0.281403126830724,0.296123195725141,0.351795981303738,0.212333352369627",-1294.397043802,"0.0613325403056963,0.999999991910991,0.264799266101098,0.292794478033004,0.34570313492952,0.194934370564069",-1294.16665077439,"0.0692256526710051,0.907348154130915,0.293532405872385,0.327943451873211,0.346597928474575,0.190793898063202",-1327.83801790831,"8.25545834614134e-18,1,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"8.25545834614134e-18,1,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"1.83796408862263e-20,0.0480137932754364,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"0.346864720267893,0.00303439067385126,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"0.0286094011362404,0.00159722675304248,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1294.397043802,"0.0613325403056963,1,0.264799266101098,0.292794478033004,0.34570313492952,0.194934370564069",-1294.397043802,"0.0613325403056963,1,0.264799266101098,0.292794478033004,0.34570313492952,0.194934370564069",-1294.12108743182,"0.0817162507936857,0.697040895495416,0.245780192850467,0.270575351093722,0.342089983874071,0.214816427685121",-1294.397043802,"0.0613325403056963,0.999999998576163,0.264799266101098,0.292794478033004,0.34570313492952,0.194934370564069",-1327.83801790831,"8.25545834614134e-18,0.0462401931623184,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"0.061282592758232,0.0029980685665352,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"0.00262914465090422,0.0106023333334033,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373",-1327.83801790831,"8.25545834614134e-18,0.00805441195973249,0.512738855419619,0.543859662271121,0.468553454110186,0.607913672666373"
"rs12821256",-218.929160795204,"2.70141253408691e-16,1,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.929160795204,"2.70141253408691e-16,0.00719945891194933,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.929160795204,"2.70141253408691e-16,0.0381682897951389,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.929160795204,"0.60389636099908,0.00396831615258333,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.929160795204,"2.70141253408691e-16,1,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.778604951177,"0.0124285432031267,1,0.0379164768192599,0.0773398930420402,0.041167361620225,0.0132873452624414",-218.618515475493,"0.0425543807279345,0.343727034837597,0.0404508794499889,0.070802979256087,0.0382971504587622,0.0154375601018205",-218.468437512886,"0.250223834888844,0.16554489026717,0.0316393365712756,0.0629660078449104,0.0419466893602705,0.014229364848973",-218.778604951177,"0.0124285432031267,1,0.0379164768192599,0.0773398930420402,0.041167361620225,0.0132873452624414",-218.551495382835,"0.144972174362532,0.300072746263034,0.0255799781401984,0.0786784282454235,0.0421691833316528,0.0120593287490472",-218.888482576279,"0.0477456730676851,0.16877610616825,0.946090471967444,0.910201830761825,0.951101340875528,0.978713760740947",-218.928994663405,"0.999998040067766,0.0307967955669917,0.954954445363407,0.911103101859263,0.952076672721633,0.983955449136881",-218.929160795204,"0.000248286000307435,0.00546954172816198,0.954954955895336,0.911111112576421,0.952076676757678,0.983957219403507",-218.926815320186,"0.0193478851149645,0.0848622857326513,0.952124057013177,0.906461290596178,0.951523282456195,0.983915868993116",-218.778604951177,"0.0124285432031267,1,0.0379164768192599,0.0773398930420402,0.041167361620225,0.0132873452624414",-218.713848967879,"0.999999989424592,0.113511651750249,0.0323038902182622,0.0645510038192075,0.0417768165821236,0.0132645609508509",-218.002844869434,"0.999999994510765,0.111055696777512,0.0298305414278375,0.0390697024535963,0.0438492920873045,0.0159266891848428",-218.778604951177,"0.0124285432031267,1,0.0379164768192599,0.0773398930420402,0.041167361620225,0.0132873452624414"
"rs4959270",-1177.93596339928,"3.74883502976443e-16,1,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.93596339928,"3.74883502976443e-16,0.0219288578624997,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.93596339928,"3.74883502976443e-16,0.00205059602453209,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.93596339928,"0.372088797016074,0.00573725945401408,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.84902871175,"0.999999995775965,0.0672654783398387,0.465885463375478,0.405614105444447,0.565103539363527,0.535659739108907",-1176.71611309457,"0.0126101418035294,1,0.448540536845377,0.558669199027739,0.397689484404881,0.415987015765171",-1176.68164219013,"0.0128954482721818,0.999999984850007,0.450666236893189,0.557851964839108,0.396908818341311,0.417894552010959",-1176.33165030411,"0.086732290544489,0.252886975175058,0.442598785723572,0.54586753674287,0.398223646656853,0.424772200178742",-1176.32061867759,"0.118580670445855,0.230919876767748,0.481953310052477,0.588918506210381,0.408765882209869,0.375508249986348",-1176.63572083904,"0.0285159617993773,0.557603558693671,0.440532043399954,0.567746123889716,0.402187479499379,0.411749807403855",-1177.87390528497,"0.112944484447615,0.00605521011419744,0.473477739082966,0.405660895629229,0.564582795002169,0.507298359310836",-1177.93596339928,"0.00536106459395768,0.00213637345634065,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.93596339928,"3.74883502976443e-16,1,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1177.93596339928,"3.74883502976443e-16,0.00723285323189414,0.50342465049653,0.405660390699886,0.565110568157095,0.535856576828315",-1176.66307361005,"0.02159839084105,0.576215130771394,0.438110945881295,0.56749178698322,0.404307123985671,0.394625153396744",-1176.71611309457,"0.0126101418035294,1,0.448540536845377,0.558669199027739,0.397689484404881,0.415987015765171",-1176.71611309457,"0.0126101418035294,1,0.448540536845377,0.558669199027739,0.397689484404881,0.415987015765171",-1176.71611309457,"0.0126101418035294,1,0.448540536845377,0.558669199027739,0.397689484404881,0.415987015765171"
"rs12203592",-608.580245701162,"9.19737530749647e-16,1,0.820610688690131,0.715517241922928,0.876404493502479,0.89366515847973",-608.580245701162,"2.29934382687412e-16,0.0847012630221901,0.820610688690131,0.715517241922928,0.876404493502479,0.89366515847973",-606.551655101874,"0.427484370833983,0.0931330809933947,0.739283705972027,0.639687282789585,0.87390107078218,0.892271903617489",-608.580245701162,"9.19737530749647e-16,0.0274305826127847,0.820610688690131,0.715517241922928,0.876404493502479,0.89366515847973",-607.694136478189,"0.999999998850324,0.107903394368143,0.700702873654218,0.713498413347794,0.876043985619456,0.891303332882283",-608.376722601029,"0.00773312355821816,1,0.162875472362503,0.263960211774052,0.113239312131913,0.0958523244959884",-604.754113587015,"0.282390630054649,0.0359323248188859,0.176879666941816,0.225001978791447,0.0813996063181792,0.105535040950095",-608.376722601029,"0.00773312355821816,1,0.162875472362503,0.263960211774052,0.113239312131913,0.0958523244959884",-607.856741654068,"0.068083702628495,0.313559926446796,0.164091497952168,0.272323030469702,0.107284535087104,0.0767956440364669",-608.327706532015,"0.00870920569031319,0.999999989348561,0.164439684308195,0.266044577407308,0.111968040415502,0.0945797340688163",-608.52990255664,"0.105681779672228,0.033003630502449,0.797147465142655,0.715206327372836,0.87611464690913,0.874832041549799",-608.513278477412,"0.746569178901502,0.0916947761098337,0.804776378844095,0.690342231500256,0.872131875516928,0.889011801786233",-606.387343256256,"0.999999998298563,0.101829164673032,0.771284349608752,0.573223982063832,0.870187332123199,0.893348978825889",-607.354820262651,"0.360826234388745,0.00169727370589926,0.54432271609011,0.431422703892399,0.876404330576874,0.893665407600831",-608.376722601029,"0.00773312355821816,1,0.162875472362503,0.263960211774052,0.113239312131913,0.0958523244959884",-608.299859852533,"0.0152532542574729,0.58034358002183,0.159261701276509,0.26047589767555,0.111247064604654,0.0934167008536285",-608.376722601029,"0.00773312355821816,1,0.162875472362503,0.263960211774052,0.113239312131913,0.0958523244959884",-608.012540786629,"0.0532597681919476,0.199159520061597,0.14841389471667,0.233357940910504,0.105385431996694,0.0957895821353787"
"rs1042602",-888.066767456273,"2.07570571725188e-17,1,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"2.07570571725188e-17,0.00312727045427614,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"2.07570571725188e-17,1,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"0.285448157324379,0.0115317507873538,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"0.370197759621769,0.0051049043234353,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-867.570971511914,"0.0643776948337771,1,0.0764253273580897,0.0541007332534853,0.0868003008021009,0.0974367635494617",-867.141861039483,"0.0792444396672283,0.810914204784282,0.0850348604075126,0.0493244878999045,0.0804481298315691,0.120408294335549",-865.128895911174,"0.318879931133923,0.289701953833813,0.0714271214602285,0.0420147923979257,0.0890711538293642,0.114388430293272",-867.570971511914,"0.0643776948337771,0.999999991732759,0.0764253273580897,0.0541007332534853,0.0868003008021009,0.0974367635494617",-867.447636202508,"0.0947844154874355,0.730190401744268,0.0791822122939125,0.0651359394894713,0.0916825843318174,0.0928785155512888",-888.066767456273,"5.1892642931297e-18,0.0111814537722398,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"2.07570571725188e-17,0.00778115804682887,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"2.07570571725188e-17,0.0137141710655096,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-888.066767456273,"2.07570571725188e-17,1,0.813380287969955,0.885964917278704,0.816588787122307,0.763537906610232",-867.522762118046,"0.0669959470019268,0.999999989205385,0.0735275531751141,0.0555484481734945,0.0876748981502519,0.0936520660424966",-867.570971511914,"0.0643776948337771,1,0.0764253273580897,0.0541007332534853,0.0868003008021009,0.0974367635494617",-867.350000281738,"0.0959991765663168,0.635284520520373,0.0652368274226585,0.0443107768723306,0.0832285719628608,0.111794794161872",-867.570971511914,"0.0643776948337771,0.999999996633522,0.0764253273580897,0.0541007332534853,0.0868003008021009,0.0974367635494617"
"rs1393350",-681.122906383064,"1.16307911254065e-16,1,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"1.16307911254065e-16,1,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"1.16307911254065e-16,0.00323270788905052,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"1.16307911254065e-16,1,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.1228091403,"0.999995342144319,0.0288486402581078,0.866285608098848,0.873015642902873,0.875000684908225,0.859374709595064",-677.302743080912,"0.0322052713847554,1,0.0859028892922181,0.0887865672925648,0.0861696500034681,0.0892882439155604",-677.14616004878,"0.0449501294461542,0.708660946009414,0.0925102001102463,0.0833815135505886,0.0819819584413436,0.10437733136486",-675.053919184376,"0.499694705251366,0.172213010427921,0.0563067467425236,0.0555430245547614,0.0941718419594758,0.109275937757993",-677.302743080912,"0.0322052713847554,1,0.0859028892922181,0.0887865672925648,0.0861696500034681,0.0892882439155604",-677.251080925241,"0.0614061091296972,0.612880482673573,0.0829028301897162,0.097336411379838,0.0900203714778685,0.0864075145621566",-681.122906383064,"1.16307911254065e-16,0.0286937875307257,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"1.16307911254065e-16,1,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"0.0670554328372382,0.00264225335283985,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-681.122906383064,"1.16307911254065e-16,0.019875269407474,0.866438356778426,0.87301587417029,0.875000000975959,0.859374998041702",-677.236083706003,"0.0337953112515281,0.999999987015505,0.0840232687164385,0.0896542722589435,0.0862572761389472,0.087257519999702",-677.302743080912,"0.0322052713847554,1,0.0859028892922181,0.0887865672925648,0.0861696500034681,0.0892882439155604",-674.948225624518,"0.999999995807715,0.13808059570234,0.0535493851135898,0.0255222636622041,0.0979324407419969,0.135858517949083",-677.302743080912,"0.0322052713847554,1,0.0859028892922181,0.0887865672925648,0.0861696500034681,0.0892882439155604"
"rs12913832",-1145.2474184721,"0.0192154720415112,1,0.381574372750986,0.506604291282024,0.402260844842157,0.221094455856993",-1143.74372244613,"0.111836906238611,0.159617787904796,0.435367866306854,0.493975429880726,0.394045964680495,0.275075899720388",-1145.2474184721,"0.0192154720415112,1,0.381574372750986,0.506604291282024,0.402260844842157,0.221094455856993",-1145.23961306189,"0.0213008032546876,0.882270604593731,0.383898308202719,0.510053378561292,0.402317859259841,0.219084321998668",-1145.0525429201,"0.0200056206783843,0.999999989558745,0.393116320264051,0.517593691381447,0.399858321553187,0.218959492331528",-1148.01774037759,"8.98986717755708e-17,1,0.548507462740551,0.436363639236482,0.538915092486991,0.723735409807463",-1148.01774037759,"8.98986717755708e-17,0.00502995747814195,0.548507462740551,0.436363639236482,0.538915092486991,0.723735409807463",-1147.2137790368,"0.263230221640584,0.0855190967309723,0.48153107464901,0.394558708375082,0.536660613681856,0.722597766066205",-1147.92698572937,"0.999999998615125,0.0840407770742651,0.548458614936317,0.436360091694316,0.538288041573504,0.70864329964188",-1147.9861521793,"0.999999962565089,0.0509514892582742,0.537204464280692,0.436361246340686,0.538914671914741,0.723726491812534",-1145.2474184721,"0.0192154720415112,1,0.381574372750986,0.506604291282024,0.402260844842157,0.221094455856993",-1145.02731438487,"0.0331254642409055,0.584146195734318,0.375916065259241,0.503967453978925,0.399132294633491,0.21618757920896",-1145.14848375257,"0.0283344118105569,0.633388264660222,0.371859113693354,0.494576792046928,0.40029345430427,0.228991414044998",-1145.04196178834,"0.0980491769692668,0.17079558008155,0.355510891683802,0.460278863634351,0.400444593870855,0.247129237751377",-1148.01774037759,"8.98986717755708e-17,0.0253588598572589,0.548507462740551,0.436363639236482,0.538915092486991,0.723735409807463",-1148.01774037759,"0.366061966753811,0.00206059305255364,0.548507462740551,0.436363639236482,0.538915092486991,0.723735409807463",-1147.32629844628,"0.999999995002217,0.0799914016200298,0.525524137771525,0.380297361678815,0.536277850206815,0.723682565921357",-1145.52478928895,"0.495479403505529,0.000906646459911801,0.134960122790107,0.109011993950746,0.53891503036706,0.723735534397657"
"rs1800407",-509.643415463735,"2.63567116874402e-17,1,0.884105960431976,0.956896551731821,0.909403669437775,0.936991870947001",-509.643415463735,"2.63567116874402e-17,0.0175862812609463,0.884105960431976,0.956896551731821,0.909403669437775,0.936991870947001",-509.643415463735,"6.58917792186004e-18,0.129740047771264,0.884105960431976,0.956896551731821,0.909403669437775,0.936991870947001",-509.485539335583,"0.999999989575257,0.100212070103133,0.883958425059556,0.9568885305038,0.908484882738898,0.924867312654338",-509.643415463735,"0.0392090099377952,0.00157333020191299,0.884105960431976,0.956896551731821,0.909403669437775,0.936991870947001",-507.882619797081,"0.0273381342612241,1,0.0794703788568689,0.0312346282514257,0.0655937101734515,0.0417779950060631",-505.988621601994,"0.109776420692713,0.299927204202627,0.0924481478946022,0.0249611270282464,0.0547494705107894,0.0595550092861611",-506.727218352934,"0.409617325141222,0.182147925685958,0.0573658048459922,0.0201182586730417,0.0680365228301412,0.0478900622722455",-507.882619797081,"0.0273381342612241,1,0.0794703788568689,0.0312346282514257,0.0655937101734515,0.0417779950060631",-506.756351603763,"0.999999992057854,0.149873455203697,0.0260950859047156,0.0408006454125332,0.0878927792523302,0.0543697331890222",-509.365338778884,"0.385737036785089,0.000476153335472218,0.824128317186988,0.956896577873645,0.909001771237773,0.90443902744864",-509.537643053148,"0.999999999546176,0.084510551759468,0.874198842142071,0.952443196496451,0.906720018189807,0.934441469504229",-509.643164058338,"0.999996364982969,0.038263768697172,0.884082282407497,0.956812215668287,0.909403446092533,0.936992184020021",-509.395651695651,"0.313012566063722,0.00282390995965554,0.712095300887378,0.894501518125235,0.909403826654321,0.936991883086574",-507.882619797081,"0.0273381342612241,1,0.0794703788568689,0.0312346282514257,0.0655937101734515,0.0417779950060631",-507.882619797081,"0.0273381342612241,1,0.0794703788568689,0.0312346282514257,0.0655937101734515,0.0417779950060631",-506.798377064237,"0.210818813126888,0.245928946788053,0.0529763264463595,0.0164527820050373,0.0617345521671875,0.0533883892306832",-507.733444360429,"0.242429514451895,0.11658604975613,0.0479652359152615,0.0177203464299473,0.0674856066427422,0.0563393791004592"
